2012-08-07 0:00,17,62,31,13,21,8,1,21.85714286
2012-08-08 0:00,3,104,36,42,0,4,0,27
2012-08-09 0:00,15,70,32,8,26,573,100,117.7142857
2012-08-10 0:00,11,20,53,40,33,572,1,104.2857143
2012-08-11 0:00,11,51,702,111,46,582,4,215.2857143
2012-08-12 0:00,13858,60,705,67,3,1188,5,2269.428571
2012-08-13 0:00,12,9,314,156,47,687,6,175.8571429
2012-08-14 0:00,18,107,407,,1,2,7,90.33333333
2012-08-15 0:00,5,594,9,710,45,609,8,282.8571429
2012-08-16 0:00,0,0,144,1142,30,522,7,263.5714286
2012-08-17 0:00,7,12,249,1196,50,1084,10,372.5714286
2012-08-18 0:00,1,24,107,813,33,1157,12,306.7142857
2012-08-19 0:00,5,23,85,916,33,73,11,163.7142857
2012-08-20 0:00,2,48,105,171,42,374,14,108
2012-08-21 0:00,2,73,85,334,74,275,1,120.5714286
2012-08-22 0:00,2,11,90,490,48,270,7,131.1428571
2012-08-23 0:00,3,16,90,198,30,192,11,77.14285714
2012-08-24 0:00,6,31,92,118,13,191,2,64.71428571
2012-08-25 0:00,8,32,77,132,2,169,12,61.71428571
2012-08-26 0:00,7,38,199,184,18,458,8,130.2857143
2012-08-27 0:00,3,43,208,71,24,537,9,127.8571429
2012-08-28 0:00,14,6,131,43,3,64,5,38
2012-08-29 0:00,6,15,78,43,14,32,10,28.28571429
2012-08-30 0:00,89,24,24,34,24,511,4,101.4285714
2012-08-31 0:00,206,63,168,58,27,50,5,82.42857143
2012-09-01 0:00,3,30,181,18,5,69,64,52.85714286
2012-09-02 0:00,9,41,235,59,40,95,45,74.85714286
2012-09-03 0:00,84,36,227,84,38,123,33,89.28571429
2012-09-04 0:00,21,30,265,49,26,38,17,63.71428571
2012-09-05 0:00,35,28,163,22,18,51,16,47.57142857
2012-09-06 0:00,2,19,290,38,17,54,16,62.28571429
2012-09-07 0:00,6,10,216,38,2,52,0,46.28571429
2012-09-08 0:00,3,28,665,82,13,52,6,121.2857143
2012-09-09 0:00,7,28,785,6,14,67,8,130.7142857
2012-09-10 0:00,78,31,298,76,19,3,17,74.57142857
2012-09-11 0:00,3,20,461,2328,11,,16,473.1666667
2012-09-12 0:00,8,6,270,,0,27,3,52.33333333
2012-09-13 0:00,22,14,203,20,26,242,16,77.57142857
2012-09-14 0:00,12,7,189,18,106,0,15,49.57142857
2012-09-15 0:00,25,24,453,33,23,2,26,83.71428571
2012-09-16 0:00,101,40,369,22,24,36,14,86.57142857
2012-09-17 0:00,124,27,303,14,25,82,78,93.28571429
2012-09-18 0:00,5,27,572,6,23,212,,140.8333333
2012-09-19 0:00,14,39,231,44,22,79,,71.5
2012-09-20 0:00,11,32,213,30,23,129,2,62.85714286
2012-09-21 0:00,11,41,233,45,4,111,26,67.28571429
2012-09-22 0:00,12,50,320,7,21,116,10,76.57142857
2012-09-23 0:00,4,39,381,58,15,110,22,89.85714286
2012-09-24 0:00,21,28,397,60,14,83,1,86.28571429
2012-09-25 0:00,11,34,454,57,16,95,9,96.57142857
2012-09-26 0:00,11,50,302,31,11,40,0,63.57142857
2012-09-27 0:00,14,42,258,84,14,76,7,70.71428571
