41.5,110.1,15.9,21.8,10.6,1
35.9,110.1,17.5,23.7,12.7,0.8
63.3,110.1,15.4,17.9,13.2,0.2
80.6,103.6,14.5,21.8,11.5,0
56.1,107.1,17.3,24.1,10.3,0.2
78.8,107.1,17.6,22,14.6,0.4
89.3,109.6,16.5,18.5,14.5,0.4
74.6,116.1,17.2,21.1,14.4,0
64,130.1,15.7,20.2,11.5,0
56.5,130.1,14.6,20.6,10.3,0
39.8,130.1,17.2,22.9,12.1,0
50,130,17.2,22.9,13,2.4
48.4,130,16.4,22.2,10.9,0
89.8,128.4,17.5,20.5,15.6,5.6
39.5,126.4,21.5,28,14.1,56.2
41.4,126.4,22.7,28.2,16.7,7
47.9,123.9,20.7,24,17.9,5.5
66.5,45.9,18.7,23.7,15.4,5.4
76.9,53.4,18,21.6,14.7,12
73.6,74.9,19,24.7,15.1,7
67,74.9,19,24.8,14.4,4.4
76.8,74.9,18.7,24.6,15.8,23.4
62.6,74.9,20.4,27.1,16.1,8.2
50.5,71.4,20.9,26.9,15.3,7.4
45.8,71.4,20.9,26.6,15.9,13.4
55.8,67.4,22,27.5,18.2,12.6
71.4,48.4,21.4,24.3,17.8,39.4
45.8,48.4,24,29.2,20.6,10.8
49.5,48.4,23.4,30.2,19,4.4
69.9,48.4,21,26.9,16.6,2
57.6,48.9,22.8,29.5,16.8,3.8
50.8,48.9,25.2,31.9,19.1,11.8
43.3,49.9,26.5,32,20.3,4.6
43,49.9,24.9,31.3,22.1,14.4
52.5,49.5,24.5,28.9,20.8,14.6
50.4,34.5,26.6,32.9,20.7,11
52.5,32.5,26.6,32,22.7,13.8
59.9,32.5,24.1,29.6,19.4,2.4
83.6,32.5,22.7,24.9,20.9,47.2
92.3,48.5,22,23.3,21.2,9
88.9,89.5,19.7,21.6,18.6,12.2
84.9,100,18.3,20,17.5,31.2
82.1,137,19.2,21.6,17.2,12.8
85.9,177,19.2,20.5,18.3,25.2
67.3,188.5,24.1,29.7,18.2,21.2
92.3,189,21,23.3,19.7,14.6
87.4,358.5,23.8,27.9,21,10.8
78.9,383,25.1,28.6,22.2,10.8
82.3,383,24.7,26.8,22.7,35.8
92.1,383,22.6,24.8,20.7,26.2
76.8,497.5,22.5,28,18.9,169.6
64.6,497.5,24.3,30.7,19,1629.2
60.9,497.5,25.6,31.2,20.4,1582.6
84.9,497.5,22.9,25.3,20.9,2303.8
84.1,538.5,22.4,24.6,20.6,2172
83.5,551.5,23.6,27.8,20.8,1029.4
80.4,566.5,24.2,28.4,21.4,1569.6
90.3,572.5,21.2,22.1,19.9,377.6
87.9,615,22.8,25.6,20.9,1262
85.6,666,24.3,26.2,22.5,644.2
89.5,695,23.6,24.6,22.3,4.2
89.4,732,23.4,26,21.6,5.6
91.1,747,22.8,25.3,21.2,1.8
82.5,801.5,25.1,29.1,22.2,20.4
62.8,802.5,28.7,34.1,24.4,184.2
55.5,802.5,28.5,32.7,24.7,289.2
50.3,802.5,27.6,32.6,23.6,375.6
48,802.5,27.1,32.2,22.3,19
