39.5,243.7411262
21.25,406.2162668
33.75,149.3914204
22.75,-39.62597204
18,-76.60719954
18.75,-105.403809
13,-4.069581953
20.75,8.788400054
24.75,69.54657312
56.75,82.02795044
60.25,-45.90094578
92.25,240.9984062
179.6666667,147.9913947
155.3333333,182.1728361
105.6666667,-2.665403618
92.33333333,95.0054002
66,174.8402551
36.5,252.9968005
52.5,38.58421807
34.75,4.567691342
32.66666667,19.11101872
40.5,194.7073553
57.5,262.4156847
56.75,359.516587
40,332.1779459
25.5,76.91958541
28,191.6310286
24.75,242.3869105
26.5,351.8440656
26.25,302.8403621
19,334.6609692
22.75,248.6282523
30,114.3655224
31.25,308.3898931
71.25,220.1614732
192,118.3796648
272.5,379.6819602
249.75,268.8892284
292.5,339.2318958
796.75,291.60234
330,385.1613354
385.25,118.6777883
289.5,329.2198716
397.5,406.9461643
409,334.0673948
319,173.8245613
420.5,408.4478556
389.75,329.9040789
337.25,507.7139798
232.75,498.5543876
91.75,294.5939096
122.25,422.6231061
189.75,407.1910432
187.75,500.298504
237.75,395.6495624
1918,429.913651
441,310.7279263
406.25,370.683422
386.5,378.9186362
706.75,379.1030715
663.3333333,282.2895087
597,576.4607214
1005,537.6278007
201.6666667,496.3547351
189,666.9327603
116,654.3053223
4.666666667,581.9155999
24.33333333,446.1496474
39.75,512.6390665
85.75,522.9104953
66,423.2844056
64.5,511.5977421
37.25,458.3931012
67.25,658.5120098
43.25,714.3367495
44.5,615.6534843
33,449.7079396
30.5,504.5877877
73.5,503.5847245
70,464.6120377
38.33333333,647.79782
122.5,445.8967462
21.25,631.4534427
25.5,677.0868113
35.5,595.5455964
13.75,471.4048407
9.75,493.4136839
9.75,487.4539423
10,579.8942358
4.25,460.024699
4,431.2928642
9.5,395.7057811
42,372.9323266
122.75,314.6982317
139.25,357.1714795
173,480.9589784
230,497.8067899
182.25,455.8842796
128.5,455.5382558
177,350.4989161
166.5,571.1868418
199.75,394.4362706
124.5,285.7985923
120.75,307.0430399
87.5,163.3451287
81.5,266.7482823
44.25,410.196244
21,199.0602583
23,185.1573999
30.5,289.9271276
35.75,312.2744427
25,342.4100982
20,233.1769263
16,146.0459693
14,199.2775717
24.25,201.5119587
24.25,217.7089449
34.25,258.7546934
28.25,384.0196431
31.5,217.930624
86.25,260.5229663
111.5,296.4017203
127,141.9954218
104,174.0247427
108.25,293.2694103
131.5,264.1895413
66,229.4524819
43,160.5688844
93.75,215.3481504
64.25,48.51335957
43.25,-35.41629286
41.25,-21.54088305
35.75,127.8466178
28.75,113.2884352
33.75,123.9559382
16,-93.87571689
6.75,-103.2830888
7.5,-177.8787483
4.75,-61.84660883
17.5,-92.79004203
14.25,-139.7120708
18,-57.67665493
1.25,-65.78018331
2.75,33.14799924
3.75,65.0039801
1.75,21.29580936
2.75,135.1172773
2.25,25.35753432
2.25,168.3486925
1,62.59251982
1.5,-74.38373605
2.25,91.02436176
1,-21.98197256
1.25,-307.0631581
0,-395.0638982
0,-431.8191449
